City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
0,Kapaa,US,80.58,clear sky,22.0752,-159.319,Pono Kai Resort
1,Havelock,US,66.94,clear sky,34.8791,-76.9013,Quality Inn Havelock Hwy 70
2,Tabou,CI,78.1,scattered clouds,4.423,-7.3528,hôtel le rochet
3,Hobart,AU,55.22,scattered clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
7,Rikitea,PF,72.28,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
8,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti International Resort
15,Victoria,HK,77.95,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
17,Camacha,PT,62.02,broken clouds,33.0833,-16.3333,Praia Dourada
18,Vieques,PR,84.85,scattered clouds,18.425,-65.8329,Gran Meliá Puerto Rico Golf Resort
23,Busselton,AU,68.47,broken clouds,-33.65,115.3333,Broadwater Beach Resort
25,Georgetown,MY,79.23,few clouds,5.4112,100.3354,Page 63 hostel
26,Hamilton,US,61.75,clear sky,39.1834,-84.5333,North Vista Manor
27,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,Hotel del Valle
30,Itarema,BR,80.82,overcast clouds,-2.9248,-39.9167,Pousada Oásis
31,Gwadar,PK,75.51,clear sky,25.1216,62.3254,Sadaf Resorts
32,Ahipara,NZ,66.07,scattered clouds,-35.1667,173.1667,YHA Ahipara
34,Castro,BR,63.81,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
36,Corn Island,NI,80.73,broken clouds,12.1694,-83.0418,Sunrise Hotel
37,Hermanus,ZA,65.8,few clouds,-34.4187,19.2345,Aloe guest house
39,Faanui,PF,79.27,light rain,-16.4833,-151.75,Oa Oa Lodge
46,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
47,Bredasdorp,ZA,64.78,clear sky,-34.5322,20.0403,Victoria Hotel
49,Sabang,ID,81.12,overcast clouds,5.8933,95.3214,Sabang Hill
50,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Otentic Eco Tent Experience
54,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Deyna's City Inn
55,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
56,Bengkulu,ID,76.01,overcast clouds,-3.8004,102.2655,Dena Hotel
59,Constitucion,CL,64.89,few clouds,-35.3333,-72.4167,Hostal Alameda
67,Vanimo,PG,76.82,moderate rain,-2.6741,141.3028,CBC Guesthouse
68,Muli,MV,80.38,overcast clouds,2.9167,73.5667,Mulaku
79,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Grand Bel Air
83,Ikungi,TZ,68.59,broken clouds,-5.1333,34.7667,Safina Lodge
84,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,Townhouse Hotel
85,Zomba,MW,65.62,heavy intensity rain,-15.386,35.3188,Zomba City Council Lodge
88,Tehri,IN,56.01,overcast clouds,30.3833,78.4833,Hotel Bhagirathi Darshan
90,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
91,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
97,Guerrero Negro,MX,65.93,clear sky,27.9769,-114.0611,Plaza sal paraiso
101,Sibolga,ID,75.69,overcast clouds,1.7427,98.7792,Hotel Prima Indah
105,Alappuzha,IN,78.03,broken clouds,9.49,76.3264,Unnis Hotel
106,Vangaindrano,MG,73.76,light rain,-23.35,47.6,Fanilo
108,Asfi,MA,61.07,clear sky,32.2994,-9.2372,Golden Tulip Farah Safi
110,Puerto Del Rosario,ES,69.55,broken clouds,28.5004,-13.8627,Hotel Tamasite
114,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,Muscat International Hotel
116,Yulara,AU,65.43,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
118,Hilo,US,77.61,few clouds,19.7297,-155.09,Dolphin Bay Hotel
119,Katsuura,JP,71.62,overcast clouds,35.1333,140.3,潮騒の宿
121,Kangaba,ML,79.14,overcast clouds,11.9333,-8.4167,Hôtel Mande
123,Saurimo,AO,63.41,overcast clouds,-9.6608,20.3916,Complexo Hoteleiro de Saurimo
124,Atuona,PF,77.76,scattered clouds,-9.8,-139.0333,Pearl Resort
126,Terrasini,IT,55.22,broken clouds,38.146,13.0844,Palm Beach Hotel
127,Dingle,PH,75.51,few clouds,10.9995,122.6711,Hotel Edmundo
135,Khandbari,NP,56.44,clear sky,27.3747,87.2039,Guesthouse
136,Huarmey,PE,72.7,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
138,Kavieng,PG,82.04,overcast clouds,-2.5744,150.7967,Kavieng Hotel
