City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
0,Kapaa,US,2022-11-29 19:27:43,22.0752,-159.319,80.58,92,0,3.44,clear sky
1,Havelock,US,2022-11-29 19:30:34,34.8791,-76.9013,66.94,65,0,12.66,clear sky
2,Tabou,CI,2022-11-29 19:30:35,4.423,-7.3528,78.1,83,33,4.23,scattered clouds
3,Hobart,AU,2022-11-29 19:30:03,-42.8794,147.3294,55.22,77,40,5.75,scattered clouds
4,Soavinandriana,MG,2022-11-29 19:30:35,-19.1667,46.7333,63.86,78,100,1.12,overcast clouds
5,Arraial Do Cabo,BR,2022-11-29 19:30:35,-22.9661,-42.0278,75.16,88,75,19.57,broken clouds
6,Pochutla,MX,2022-11-29 19:30:36,15.7432,-96.4661,86.83,52,29,6.93,scattered clouds
7,Rikitea,PF,2022-11-29 19:30:37,-23.1203,-134.9692,72.28,76,86,17.29,overcast clouds
8,Vaini,TO,2022-11-29 19:27:43,-21.2,-175.2,80.76,74,20,10.36,few clouds
9,Kyshtovka,RU,2022-11-29 19:30:37,56.555,76.6271,-7.94,93,92,4.59,overcast clouds
10,Suntar,RU,2022-11-29 19:30:37,62.1444,117.6319,-21.28,96,100,6.42,overcast clouds
11,Marzuq,YE,2022-11-29 19:30:38,14.4,46.4667,62.83,54,0,1.36,clear sky
12,Tuktoyaktuk,CA,2022-11-29 19:28:43,69.4541,-133.0374,-0.4,78,75,18.41,light snow
13,Lerwick,GB,2022-11-29 19:30:38,60.1545,-1.1494,48.2,80,17,10.16,few clouds
14,Kolondieba,ML,2022-11-29 19:30:39,11.0882,-6.8926,79.07,24,10,3.24,clear sky
15,Victoria,HK,2022-11-29 19:29:38,22.2855,114.1577,77.95,87,0,3.0,clear sky
16,Mount Gambier,AU,2022-11-29 19:30:39,-37.8333,140.7667,50.85,88,62,2.59,broken clouds
17,Camacha,PT,2022-11-29 19:30:39,33.0833,-16.3333,62.02,59,75,3.44,broken clouds
18,Vieques,PR,2022-11-29 19:30:40,18.425,-65.8329,84.85,70,40,12.66,scattered clouds
19,Rio Pomba,BR,2022-11-29 19:30:40,-21.2747,-43.1792,77.23,82,13,8.28,few clouds
20,Lufilufi,WS,2022-11-29 19:30:41,-13.8745,-171.5986,80.38,78,98,12.28,light rain
21,Dikson,RU,2022-11-29 19:30:41,73.5069,80.5464,14.0,95,100,5.66,overcast clouds
22,Kurumkan,RU,2022-11-29 19:30:41,54.3,110.3,-16.2,88,22,4.32,few clouds
23,Busselton,AU,2022-11-29 19:30:42,-33.65,115.3333,68.47,52,69,10.38,broken clouds
24,Bima,ID,2022-11-29 19:30:42,-8.4667,118.7167,76.8,92,100,4.09,overcast clouds
25,Georgetown,MY,2022-11-29 19:29:00,5.4112,100.3354,79.23,91,20,4.61,few clouds
26,Hamilton,US,2022-11-29 19:28:49,39.1834,-84.5333,61.75,64,0,16.11,clear sky
27,Acapulco,MX,2022-11-29 19:29:58,16.8634,-99.8901,82.22,69,100,4.61,overcast clouds
28,Tasiilaq,GL,2022-11-29 19:30:43,65.6145,-37.6368,39.36,96,100,33.55,moderate rain
29,Yellowknife,CA,2022-11-29 19:25:54,62.456,-114.3525,-21.48,76,75,8.01,broken clouds
30,Itarema,BR,2022-11-29 19:30:43,-2.9248,-39.9167,80.82,69,96,11.34,overcast clouds
31,Gwadar,PK,2022-11-29 19:30:44,25.1216,62.3254,75.51,50,0,6.22,clear sky
32,Ahipara,NZ,2022-11-29 19:30:44,-35.1667,173.1667,66.07,88,28,10.16,scattered clouds
33,Bluff,NZ,2022-11-29 19:30:44,-46.6,168.3333,59.81,78,100,9.69,overcast clouds
34,Castro,BR,2022-11-29 19:26:16,-24.7911,-50.0119,63.81,88,100,8.84,overcast clouds
35,Brae,GB,2022-11-29 19:30:45,60.3964,-1.353,46.29,84,17,9.28,few clouds
36,Corn Island,NI,2022-11-29 19:30:45,12.1694,-83.0418,80.73,77,52,15.12,broken clouds
37,Hermanus,ZA,2022-11-29 19:30:46,-34.4187,19.2345,65.8,91,17,3.02,few clouds
38,Torbay,CA,2022-11-29 19:30:46,47.6666,-52.7314,34.57,72,75,17.27,broken clouds
39,Faanui,PF,2022-11-29 19:30:46,-16.4833,-151.75,79.27,77,15,13.22,light rain
40,Jamestown,US,2022-11-29 19:27:12,42.097,-79.2353,46.71,69,100,11.5,overcast clouds
41,Tautira,PF,2022-11-29 19:30:47,-17.7333,-149.15,78.06,80,37,12.03,light rain
42,Siemiatycze,PL,2022-11-29 19:30:47,52.4272,22.8623,33.44,86,100,9.24,overcast clouds
43,Punta Arenas,CL,2022-11-29 19:25:52,-53.15,-70.9167,50.11,57,75,24.16,broken clouds
44,Bethel,US,2022-11-29 19:30:48,41.3712,-73.414,44.19,62,75,5.75,broken clouds
45,Mataura,NZ,2022-11-29 19:30:48,-46.1927,168.8643,59.49,94,100,4.52,overcast clouds
46,Pitimbu,BR,2022-11-29 19:30:48,-7.4706,-34.8086,82.99,70,99,15.26,overcast clouds
47,Bredasdorp,ZA,2022-11-29 19:30:49,-34.5322,20.0403,64.78,80,0,1.72,clear sky
48,Elko,US,2022-11-29 19:30:13,41.0002,-115.5012,27.05,68,9,7.0,clear sky
49,Sabang,ID,2022-11-29 19:31:50,5.8933,95.3214,81.12,76,100,7.96,overcast clouds
50,Bambous Virieux,MU,2022-11-29 19:31:50,-20.3428,57.7575,73.65,83,40,4.61,scattered clouds
51,Barrow,US,2022-11-29 19:31:50,71.2906,-156.7887,1.42,78,75,12.66,broken clouds
52,Cherskiy,RU,2022-11-29 19:31:51,68.75,161.3,-7.55,96,100,9.84,overcast clouds
53,Thompson,CA,2022-11-29 19:27:36,55.7435,-97.8558,5.16,78,100,19.57,light snow
54,Saint-Georges,GD,2022-11-29 19:31:51,12.0564,-61.7485,83.88,74,40,17.27,scattered clouds
55,Avarua,CK,2022-11-29 19:31:52,-21.2078,-159.775,78.85,78,75,13.8,broken clouds
56,Bengkulu,ID,2022-11-29 19:28:51,-3.8004,102.2655,76.01,90,100,2.53,overcast clouds
57,Iqaluit,CA,2022-11-29 19:30:00,63.7506,-68.5145,-15.07,76,20,18.41,few clouds
58,Kungurtug,RU,2022-11-29 19:31:53,50.5994,97.5228,-19.75,97,97,1.23,overcast clouds
59,Constitucion,CL,2022-11-29 19:31:53,-35.3333,-72.4167,64.89,64,20,16.08,few clouds
60,Nurota,UZ,2022-11-29 19:31:54,40.5614,65.6886,42.19,70,14,6.6,few clouds
61,Ushuaia,AR,2022-11-29 19:31:50,-54.8,-68.3,49.62,66,75,26.46,light rain
62,Qaanaaq,GL,2022-11-29 19:27:32,77.484,-69.3632,-15.32,79,14,4.79,few clouds
63,Banes,CU,2022-11-29 19:31:54,20.9625,-75.7186,82.96,61,64,12.8,broken clouds
64,Chokurdakh,RU,2022-11-29 19:31:55,70.6333,147.9167,-12.17,98,100,8.93,light snow
65,Cooma,AU,2022-11-29 19:31:55,-36.2333,149.1333,47.08,88,41,3.96,scattered clouds
66,Tukrah,LY,2022-11-29 19:31:56,32.5341,20.5791,63.18,78,97,16.02,light rain
67,Vanimo,PG,2022-11-29 19:31:56,-2.6741,141.3028,76.82,88,100,3.4,moderate rain
68,Muli,MV,2022-11-29 19:31:56,2.9167,73.5667,80.38,66,99,3.65,overcast clouds
69,Mattru,SL,2022-11-29 19:31:57,7.6244,-11.8332,75.31,92,16,3.38,light rain
70,Manzanillo,CU,2022-11-29 19:31:57,20.3433,-77.1167,91.24,37,28,11.97,scattered clouds
71,Raudeberg,NO,2022-11-29 19:31:57,61.9875,5.1352,43.86,69,100,11.18,overcast clouds
72,Yubileynyy,RU,2022-11-29 19:31:58,58.781,57.7778,7.0,99,92,1.34,overcast clouds
73,Kushima,JP,2022-11-29 19:31:58,31.4583,131.2333,65.79,90,95,7.31,overcast clouds
74,Sangar,RU,2022-11-29 19:31:59,63.9242,127.4739,-39.1,99,100,1.32,overcast clouds
75,Shikhazany,RU,2022-11-29 19:31:59,55.5605,47.393,6.55,97,58,1.3,broken clouds
76,Butaritari,KI,2022-11-29 19:31:59,3.0707,172.7902,80.78,76,49,10.36,scattered clouds
77,Saint George,US,2022-11-29 19:27:03,37.1041,-113.5841,50.25,25,0,10.0,clear sky
78,Mar Del Plata,AR,2022-11-29 19:28:52,-38.0023,-57.5575,91.83,72,40,17.27,scattered clouds
79,Mahebourg,MU,2022-11-29 19:32:00,-20.4081,57.7,73.69,83,40,4.61,scattered clouds
80,San Patricio,US,2022-11-29 19:32:00,28.017,-97.5169,86.09,62,100,11.81,overcast clouds
81,Maarianhamina,AX,2022-11-29 19:32:01,60.0973,19.9348,37.26,87,75,9.22,broken clouds
82,Svetlogorsk,BY,2022-11-29 19:32:01,52.6333,29.7333,28.71,92,100,8.5,overcast clouds
83,Ikungi,TZ,2022-11-29 19:32:02,-5.1333,34.7667,68.59,63,81,7.85,broken clouds
84,Cape Town,ZA,2022-11-29 19:30:03,-33.9258,18.4232,66.11,86,0,9.22,clear sky
85,Zomba,MW,2022-11-29 19:32:03,-15.386,35.3188,65.62,93,100,7.43,heavy intensity rain
86,Namuac,PH,2022-11-29 19:32:04,18.6109,121.1657,78.91,89,1,9.66,clear sky
87,Aklavik,CA,2022-11-29 19:32:05,68.2191,-135.0107,-22.0,76,75,3.44,broken clouds
88,Tehri,IN,2022-11-29 19:32:05,30.3833,78.4833,56.01,52,100,4.54,overcast clouds
89,Ancud,CL,2022-11-29 19:32:06,-41.8697,-73.8203,52.32,75,100,3.8,overcast clouds
90,Puerto Ayora,EC,2022-11-29 19:27:30,-0.7393,-90.3518,76.96,85,47,5.99,scattered clouds
91,Isangel,VU,2022-11-29 19:33:07,-19.55,169.2667,77.11,94,92,0.0,overcast clouds
92,Albany,US,2022-11-29 19:33:02,42.6001,-73.9662,38.17,66,93,5.17,overcast clouds
93,Lata,PT,2022-11-29 19:33:08,40.1629,-8.3327,49.08,92,99,1.41,overcast clouds
94,Sanandaj,IR,2022-11-29 19:33:08,35.3144,46.9923,42.82,81,75,0.0,broken clouds
95,Nanortalik,GL,2022-11-29 19:30:10,60.1432,-45.2371,32.83,91,100,14.09,overcast clouds
96,Nemuro,JP,2022-11-29 19:33:09,43.3236,145.575,42.55,83,100,19.95,overcast clouds
97,Guerrero Negro,MX,2022-11-29 19:33:10,27.9769,-114.0611,65.93,55,0,16.04,clear sky
98,East London,ZA,2022-11-29 19:33:11,-33.0153,27.9116,71.98,80,42,22.53,scattered clouds
99,Grindavik,IS,2022-11-29 19:33:12,63.8424,-22.4338,45.07,93,100,36.82,overcast clouds
100,Vardo,NO,2022-11-29 19:33:13,70.3705,31.1107,35.58,80,100,16.11,overcast clouds
101,Sibolga,ID,2022-11-29 19:33:14,1.7427,98.7792,75.69,87,100,2.66,overcast clouds
102,Mazeikiai,LT,2022-11-29 19:33:14,56.3167,22.3333,21.85,97,49,5.28,scattered clouds
103,Anadyr,RU,2022-11-29 19:33:15,64.75,177.4833,34.3,80,20,8.95,few clouds
104,Curup,ID,2022-11-29 19:30:16,-3.4667,102.5333,67.98,97,100,1.79,overcast clouds
105,Alappuzha,IN,2022-11-29 19:33:16,9.49,76.3264,78.03,82,60,1.1,broken clouds
106,Vangaindrano,MG,2022-11-29 19:33:16,-23.35,47.6,73.76,92,90,3.02,light rain
107,Apollonia,GR,2022-11-29 19:33:17,36.9716,24.7231,54.99,79,99,9.06,overcast clouds
108,Asfi,MA,2022-11-29 19:33:18,32.2994,-9.2372,61.07,65,6,16.67,clear sky
109,Zhezkazgan,KZ,2022-11-29 19:33:19,47.8043,67.7144,19.44,61,100,13.33,overcast clouds
110,Puerto Del Rosario,ES,2022-11-29 19:33:19,28.5004,-13.8627,69.55,73,75,14.97,broken clouds
111,Batagay,RU,2022-11-29 19:33:21,67.6333,134.6333,-29.13,96,100,0.98,overcast clouds
112,Tiksi,RU,2022-11-29 19:33:23,71.6872,128.8694,-30.01,99,54,4.18,broken clouds
113,Kaitangata,NZ,2022-11-29 19:33:24,-46.2817,169.8464,53.8,95,100,5.21,moderate rain
114,Salalah,OM,2022-11-29 19:33:03,17.0151,54.0924,78.89,78,40,3.44,scattered clouds
115,Fortuna,US,2022-11-29 19:28:51,40.5982,-124.1573,48.92,84,0,1.01,clear sky
116,Yulara,AU,2022-11-29 19:33:27,-25.2406,130.9889,65.43,33,0,9.08,clear sky
117,Corumba,BR,2022-11-29 19:33:28,-19.0092,-57.6533,98.51,23,75,6.91,broken clouds
118,Hilo,US,2022-11-29 19:33:28,19.7297,-155.09,77.61,84,20,7.0,few clouds
119,Katsuura,JP,2022-11-29 19:33:28,35.1333,140.3,71.62,92,100,17.78,overcast clouds
120,Effingham,US,2022-11-29 19:32:25,32.3669,-81.3332,75.15,57,1,4.43,clear sky
121,Kangaba,ML,2022-11-29 19:33:29,11.9333,-8.4167,79.14,23,90,4.25,overcast clouds
122,Puerto Cabezas,NI,2022-11-29 19:33:29,14.0351,-83.3888,85.96,70,75,11.5,broken clouds
123,Saurimo,AO,2022-11-29 19:33:30,-9.6608,20.3916,63.41,99,100,4.16,overcast clouds
124,Atuona,PF,2022-11-29 19:33:30,-9.8,-139.0333,77.76,73,28,16.11,scattered clouds
125,Pampa,US,2022-11-29 19:33:30,35.5362,-100.9599,42.84,56,0,19.57,clear sky
126,Terrasini,IT,2022-11-29 19:33:31,38.146,13.0844,55.22,84,75,2.3,broken clouds
127,Dingle,PH,2022-11-29 19:32:33,10.9995,122.6711,75.51,92,20,7.67,few clouds
128,Severo-Kurilsk,RU,2022-11-29 19:33:31,50.6789,156.125,35.67,96,100,23.71,moderate rain
129,Kieta,PG,2022-11-29 19:33:32,-6.2167,155.6333,79.03,85,92,3.87,light rain
