City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hami,CN,2022-11-25 22:03:50,42.8,93.45,34.05,40,100,7.81
1,Laredo,US,2022-11-25 21:59:52,27.5064,-99.5075,55.69,100,100,11.5
2,Samarai,PG,2022-11-25 22:03:50,-10.6167,150.6667,82.94,76,87,4.07
3,Bredasdorp,ZA,2022-11-25 22:03:51,-34.5322,20.0403,58.71,63,57,1.86
4,Mahebourg,MU,2022-11-25 22:03:51,-20.4081,57.7,75.49,78,40,5.75
5,Palauig,PH,2022-11-25 22:03:52,15.435,119.9045,78.57,59,91,5.21
6,Natal,BR,2022-11-25 22:03:52,-5.795,-35.2094,81.25,78,40,9.22
7,Adrar,MR,2022-11-25 22:03:52,20.5022,-10.0711,73.9,12,100,9.8
8,Albany,US,2022-11-25 22:00:56,42.6001,-73.9662,44.38,70,86,3.0
9,Ushuaia,AR,2022-11-25 22:01:50,-54.8,-68.3,44.06,64,29,9.93
10,Asyut,EG,2022-11-25 22:03:53,27.181,31.1837,63.1,51,1,7.31
11,Arraial Do Cabo,BR,2022-11-25 22:03:53,-22.9661,-42.0278,73.6,86,8,17.36
12,Bambous Virieux,MU,2022-11-25 22:03:54,-20.3428,57.7575,75.45,78,40,5.75
13,Hermanus,ZA,2022-11-25 22:03:54,-34.4187,19.2345,59.5,65,53,7.83
14,Port Alfred,ZA,2022-11-25 22:03:54,-33.5906,26.891,60.19,83,24,6.6
15,Bluff,NZ,2022-11-25 22:03:55,-46.6,168.3333,54.81,61,100,14.45
16,Hobart,AU,2022-11-25 21:59:51,-42.8794,147.3294,57.25,78,75,4.61
17,Yerbogachen,RU,2022-11-25 22:03:55,61.2767,108.0108,-34.78,100,65,3.38
18,Araouane,ML,2022-11-25 22:03:56,18.9048,-3.5265,72.03,12,76,9.75
19,New Norfolk,AU,2022-11-25 22:03:39,-42.7826,147.0587,56.91,67,100,3.89
20,Camopi,GF,2022-11-25 22:03:56,3.1655,-52.3158,77.58,72,57,4.72
21,Faya,SA,2022-11-25 22:03:56,18.3851,42.4509,52.32,65,3,1.3
22,Jamestown,US,2022-11-25 22:03:42,42.097,-79.2353,42.39,62,100,20.71
23,Nagua,DO,2022-11-25 22:03:57,19.3832,-69.8474,80.65,78,40,6.91
24,Butaritari,KI,2022-11-25 22:03:57,3.0707,172.7902,80.92,74,83,9.71
25,Bar Harbor,US,2022-11-25 22:03:57,44.3876,-68.2039,47.98,89,100,8.01
26,Bulgan,MN,2022-11-25 22:03:58,48.8125,103.5347,3.88,67,100,2.57
27,Busselton,AU,2022-11-25 22:03:58,-33.65,115.3333,59.27,73,82,9.66
28,Hithadhoo,MV,2022-11-25 22:03:59,-0.6,73.0833,81.5,75,100,13.47
29,Murdochville,CA,2022-11-25 22:03:59,48.9583,-65.5006,24.28,97,100,5.97
30,Avarua,CK,2022-11-25 22:03:59,-21.2078,-159.775,78.85,73,75,14.97
31,Zyryanka,RU,2022-11-25 22:04:00,65.75,150.85,-18.98,100,100,0.67
32,Atasu,KZ,2022-11-25 22:04:00,48.6814,71.6433,3.74,92,19,11.43
33,Severo-Kurilsk,RU,2022-11-25 22:04:00,50.6789,156.125,31.05,70,100,21.3
34,Chuy,UY,2022-11-25 22:04:01,-33.6971,-53.4616,68.23,85,2,5.66
35,Tuktoyaktuk,CA,2022-11-25 22:04:01,69.4541,-133.0374,9.12,96,98,4.76
36,Yar-Sale,RU,2022-11-25 22:04:01,66.8333,70.8333,-3.51,96,100,11.95
37,East London,ZA,2022-11-25 22:04:02,-33.0153,27.9116,65.17,63,100,3.47
38,Zaysan,KZ,2022-11-25 22:04:02,47.4667,84.8667,25.3,96,100,15.08
39,Dikson,RU,2022-11-25 22:04:03,73.5069,80.5464,-12.03,100,76,4.25
40,Yellowknife,CA,2022-11-25 22:03:21,62.456,-114.3525,9.61,90,91,11.65
41,Punta Arenas,CL,2022-11-25 22:04:03,-53.15,-70.9167,48.11,49,11,25.86
42,Bengkulu,ID,2022-11-25 22:04:04,-3.8004,102.2655,74.48,91,100,3.85
43,Sawtell,AU,2022-11-25 22:04:04,-30.3833,153.1,77.02,53,76,10.36
44,Hilo,US,2022-11-25 22:00:07,19.7297,-155.09,78.24,74,41,11.99
45,Flinders,AU,2022-11-25 22:04:04,-34.5833,150.8552,68.38,69,26,5.99
46,Kapaa,US,2022-11-25 22:05:05,22.0752,-159.319,80.58,60,40,25.32
47,Lodja,CD,2022-11-25 22:05:05,-3.4833,23.4333,69.91,99,88,1.03
48,Cidreira,BR,2022-11-25 22:05:06,-30.1811,-50.2056,69.06,78,0,8.81
49,Eenhana,NA,2022-11-25 22:05:06,-17.4667,16.3333,75.69,54,76,0.87
50,Safaga,EG,2022-11-25 22:05:06,26.7292,33.9365,69.1,54,4,7.67
51,Altay,CN,2022-11-25 22:05:07,47.8667,88.1167,21.31,97,100,4.07
52,Atuona,PF,2022-11-25 22:05:07,-9.8,-139.0333,78.24,70,65,13.42
53,Asau,RO,2022-11-25 22:05:08,46.4333,26.4,33.28,93,98,2.59
54,Kedrovyy,RU,2022-11-25 22:05:08,56.1667,91.8167,-14.13,99,100,4.65
55,Saint-Jean-De-Maurienne,FR,2022-11-25 22:05:08,45.1667,6.5833,25.14,97,92,7.58
56,San Miguel De Cauri,PE,2022-11-25 22:05:09,-10.1,-76.5833,50.36,68,88,5.19
57,Longyearbyen,SJ,2022-11-25 22:05:09,78.2186,15.6401,19.71,89,100,1.14
58,Rikitea,PF,2022-11-25 22:04:19,-23.1203,-134.9692,73.47,76,99,9.08
59,Port Elizabeth,ZA,2022-11-25 22:05:09,-33.918,25.5701,60.31,72,0,14.0
60,Mataura,NZ,2022-11-25 22:05:10,-46.1927,168.8643,54.48,85,100,7.09
61,Barrow,US,2022-11-25 22:05:10,71.2906,-156.7887,8.62,72,100,20.71
62,Hualmay,PE,2022-11-25 22:05:11,-11.0964,-77.6139,70.72,77,34,10.89
63,Bathsheba,BB,2022-11-25 22:05:11,13.2167,-59.5167,81.21,74,20,14.97
